Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend,Child_or_adult
DEC,27013,270072,Philadelphia,0.1,50-64 years,"2023-24, Philadelphia: 50-64 years",Adult
DEC,27707,1229950,Arkansas,0.0225,18-49 years,"2023-24, Arkansas: 18-49 years",Adult
DEC,28076,676599,Pennsylvania (excluding Philadelphia County),0.0415,13-17 years,"2023-24, Pennsylvania (excluding Philadelphia County): 13-17 years",Child
DEC,28082,377461,Washington,0.0744,5-8 years,"2023-24, Washington: 5-8 years",Child
DEC,28150,1668393,Texas,0.0169,5-8 years,"2023-24, Texas: 5-8 years",Child
DEC,28287,575908,Hawaii,0.0491,18-49 years,"2023-24, Hawaii: 18-49 years",Adult
DEC,28338,626171,Illinois,0.0453,9-12 years,"2023-24, Illinois: 9-12 years",Child
DEC,28831,247935,Vermont,0.1163,18-49 years,"2023-24, Vermont: 18-49 years",Adult
DEC,29075,747775,Idaho,0.0389,18-49 years,"2023-24, Idaho: 18-49 years",Adult
DEC,29257,377798,Washington,0.0774,9-12 years,"2023-24, Washington: 9-12 years",Child
DEC,29632,133652,Vermont,0.2217,50-64 years,"2023-24, Vermont: 50-64 years",Adult
DEC,29737,1997031,Alabama,0.0149,18-49 years,"2023-24, Alabama: 18-49 years",Adult
DEC,30178,1687066,Texas,0.0179,9-12 years,"2023-24, Texas: 9-12 years",Child
DEC,30319,201301,Delaware,0.1506,50-64 years,"2023-24, Delaware: 50-64 years",Adult
DEC,30805,701836,Connecticut,0.0439,6 months to 17 years,"2023-24, Connecticut: 6 months to 17 years",Child
DEC,31176,371308,Minnesota,0.084,13-17 years,"2023-24, Minnesota: 13-17 years",Child
DEC,31733,905560.5,Utah,0.035,6 months to 17 years,"2023-24, Utah: 6 months to 17 years",Child
DEC,32371,507668,Maine,0.0638,18-49 years,"2023-24, Maine: 18-49 years",Adult
DEC,33463,1526214,Indiana,0.0219,6 months to 17 years,"2023-24, Indiana: 6 months to 17 years",Child
DEC,34042,322101,Idaho,0.1057,50-64 years,"2023-24, Idaho: 50-64 years",Adult
DEC,34083,672299,California,0.0507,6-23 months,"2023-24, California: 6-23 months",Child
DEC,34503,4140953,Florida,0.0083,6 months to 17 years,"2023-24, Florida: 6 months to 17 years",Child
DEC,34578,2437453.5,Georgia,0.0142,6 months to 17 years,"2023-24, Georgia: 6 months to 17 years",Child
DEC,35485,1335604.5,Missouri,0.0266,6 months to 17 years,"2023-24, Missouri: 6 months to 17 years",Child
DEC,36008,449237,Wyoming,0.0802,18+ years,"2023-24, Wyoming: 18+ years",Adult
DEC,37252,460572,Washington,0.0809,13-17 years,"2023-24, Washington: 13-17 years",Child
DEC,37383,260200,Hawaii,0.1437,50-64 years,"2023-24, Hawaii: 50-64 years",Adult
DEC,37752,579166.5,Wyoming,0.0652,Overall,"2023-24, Wyoming: Overall",All
DEC,37849,873539,Louisiana,0.0433,50-64 years,"2023-24, Louisiana: 50-64 years",Adult
DEC,38747,816314,Illinois,0.0475,13-17 years,"2023-24, Illinois: 13-17 years",Child
DEC,39660,123141,North Dakota,0.3221,65+ years,"2023-24, North Dakota: 65+ years",Adult
DEC,39811,1661189,Oklahoma,0.024,18-49 years,"2023-24, Oklahoma: 18-49 years",Adult
DEC,40700,564552,Arkansas,0.0721,50-64 years,"2023-24, Arkansas: 50-64 years",Adult
DEC,40760,697429,Puerto Rico,0.0584,65+ years,"2023-24, Puerto Rico: 65+ years",Adult
DEC,40973,300529,Maine,0.1363,50-64 years,"2023-24, Maine: 50-64 years",Adult
DEC,41073,1605718.5,Arizona,0.0256,6 months to 17 years,"2023-24, Arizona: 6 months to 17 years",Child
DEC,45237,4721883,Maryland,0.0096,18+ years,"2023-24, Maryland: 18+ years",Adult
DEC,46301,1334197,Nevada,0.0347,18-49 years,"2023-24, Nevada: 18-49 years",Adult
DEC,50136,552427,Alaska,0.0908,18+ years,"2023-24, Alaska: 18+ years",Adult
DEC,50256,226967,Philadelphia,0.2214,65+ years,"2023-24, Philadelphia: 65+ years",Adult
DEC,50431,1640786,New York City,0.0307,6 months to 17 years,"2023-24, New York City: 6 months to 17 years",Child
DEC,50533,742696,Philadelphia,0.068,18-49 years,"2023-24, Philadelphia: 18-49 years",Adult
DEC,50752,962974,Alabama,0.0527,50-64 years,"2023-24, Alabama: 50-64 years",Adult
DEC,51875,1884782,New Jersey,0.0275,6 months to 17 years,"2023-24, New Jersey: 6 months to 17 years",Child
DEC,51933,1414649,California,0.0367,2-4 years,"2023-24, California: 2-4 years",Child
DEC,52426,157177,South Dakota,0.3335,65+ years,"2023-24, South Dakota: 65+ years",Adult
DEC,52929,2110766,Texas,0.0251,13-17 years,"2023-24, Texas: 13-17 years",Child
DEC,53171,712915,Oklahoma,0.0746,50-64 years,"2023-24, Oklahoma: 50-64 years",Adult
DEC,55386,726305,Alaska,0.0763,Overall,"2023-24, Alaska: Overall",All
DEC,56693,857079,New Mexico,0.0661,18-49 years,"2023-24, New Mexico: 18-49 years",Adult
DEC,58238,587166,Nevada,0.0992,50-64 years,"2023-24, Nevada: 50-64 years",Adult
DEC,58279,128594,Vermont,0.4532,65+ years,"2023-24, Vermont: 65+ years",Adult
DEC,58637,1299127.5,Maryland,0.0451,6 months to 17 years,"2023-24, Maryland: 6 months to 17 years",Child
DEC,59576,583228,District of Columbia,0.1021,18+ years,"2023-24, District of Columbia: 18+ years",Adult
DEC,59877,1227144.5,Wisconsin,0.0488,6 months to 17 years,"2023-24, Wisconsin: 6 months to 17 years",Child
DEC,59975,499955,Mississippi,0.12,65+ years,"2023-24, Mississippi: 65+ years",Adult
DEC,62077,213392,Montana,0.2909,65+ years,"2023-24, Montana: 65+ years",Adult
DEC,62165,1829101,Kentucky,0.034,18-49 years,"2023-24, Kentucky: 18-49 years",Adult
DEC,63417,2247245.5,North Carolina,0.0282,6 months to 17 years,"2023-24, North Carolina: 6 months to 17 years",Child
DEC,65067,386838,New Mexico,0.1682,50-64 years,"2023-24, New Mexico: 50-64 years",Adult
DEC,67301,583680,North Dakota,0.1153,18+ years,"2023-24, North Dakota: 18+ years",Adult
DEC,67349,460217,Utah,0.1463,50-64 years,"2023-24, Utah: 50-64 years",Adult
DEC,67415,2237082,New York (excluding New York City),0.0301,6 months to 17 years,"2023-24, New York (excluding New York City): 6 months to 17 years",Child
DEC,67770,839769,Oregon,0.0807,6 months to 17 years,"2023-24, Oregon: 6 months to 17 years",Child
DEC,68288,2624172,Puerto Rico,0.026,18+ years,"2023-24, Puerto Rico: 18+ years",Adult
DEC,69256,3177862.5,Puerto Rico,0.0218,Overall,"2023-24, Puerto Rico: Overall",All
DEC,69281,2502483,Ohio,0.0277,6 months to 17 years,"2023-24, Ohio: 6 months to 17 years",Child
DEC,69794,373569,West Virginia,0.1868,65+ years,"2023-24, West Virginia: 65+ years",Adult
DEC,71494,1278429,Iowa,0.0559,18-49 years,"2023-24, Iowa: 18-49 years",Adult
DEC,72732,708203.5,District of Columbia,0.1027,Overall,"2023-24, District of Columbia: Overall",All
DEC,73230,760079.5,North Dakota,0.0963,Overall,"2023-24, North Dakota: Overall",All
DEC,75277,197594,Delaware,0.381,65+ years,"2023-24, Delaware: 65+ years",Adult
DEC,78769,2857609,Tennessee,0.0276,18-49 years,"2023-24, Tennessee: 18-49 years",Adult
DEC,79396,875398,Kentucky,0.0907,50-64 years,"2023-24, Kentucky: 50-64 years",Adult
DEC,79751,2072888.5,Michigan,0.0385,6 months to 17 years,"2023-24, Michigan: 6 months to 17 years",Child
DEC,80189,1966287,California,0.0408,5-8 years,"2023-24, California: 5-8 years",Child
DEC,80592,2225691,Pennsylvania (excluding Philadelphia County),0.0362,6 months to 17 years,"2023-24, Pennsylvania (excluding Philadelphia County): 6 months to 17 years",Child
DEC,81046,275080,Hawaii,0.2946,65+ years,"2023-24, Hawaii: 65+ years",Adult
DEC,82541,1218497,Colorado,0.0677,6 months to 17 years,"2023-24, Colorado: 6 months to 17 years",Child
DEC,84145,593437,Iowa,0.1418,50-64 years,"2023-24, Iowa: 50-64 years",Adult
DEC,85113,674238,South Dakota,0.1262,18+ years,"2023-24, South Dakota: 18+ years",Adult
DEC,89088,305994,Idaho,0.2911,65+ years,"2023-24, Idaho: 65+ years",Adult
DEC,90477,1478793,Utah,0.0612,18-49 years,"2023-24, Utah: 18-49 years",Adult
DEC,90915,1991746,California,0.0456,9-12 years,"2023-24, California: 9-12 years",Child
DEC,91430,886812,South Dakota,0.1031,Overall,"2023-24, South Dakota: Overall",All
DEC,92464,2273653,Mississippi,0.0407,18+ years,"2023-24, Mississippi: 18+ years",Adult
DEC,94801,2949076.5,Mississippi,0.0321,Overall,"2023-24, Mississippi: Overall",All
DEC,99040,3079500,Arizona,0.0322,18-49 years,"2023-24, Arizona: 18-49 years",Adult
DEC,99428,1335281,Tennessee,0.0745,50-64 years,"2023-24, Tennessee: 50-64 years",Adult
DEC,99845,763750,Louisiana,0.1307,65+ years,"2023-24, Louisiana: 65+ years",Adult
DEC,101983,850894,Montana,0.1199,18+ years,"2023-24, Montana: 18+ years",Adult
DEC,103061,1433821,Connecticut,0.0719,18-49 years,"2023-24, Connecticut: 18-49 years",Adult
DEC,103080,2794631,Indiana,0.0369,18-49 years,"2023-24, Indiana: 18-49 years",Adult
DEC,103874,6021010.5,Maryland,0.0173,Overall,"2023-24, Maryland: Overall",All
DEC,106567,1268024,Minnesota,0.084,6 months to 17 years,"2023-24, Minnesota: 6 months to 17 years",Child
DEC,107838,293776,Maine,0.3671,65+ years,"2023-24, Maine: 65+ years",Adult
DEC,108547,1074894.5,Montana,0.101,Overall,"2023-24, Montana: Overall",All
DEC,109421,1428520,West Virginia,0.0766,18+ years,"2023-24, West Virginia: 18+ years",Adult
DEC,112122,1776063.5,West Virginia,0.0631,Overall,"2023-24, West Virginia: Overall",All
DEC,113160,2499695,Missouri,0.0453,18-49 years,"2023-24, Missouri: 18-49 years",Adult
DEC,114490,536306,Arkansas,0.2135,65+ years,"2023-24, Arkansas: 65+ years",Adult
DEC,116180,1321503,Arizona,0.0879,50-64 years,"2023-24, Arizona: 50-64 years",Adult
DEC,116742,510181,Vermont,0.2288,18+ years,"2023-24, Vermont: 18+ years",Adult
DEC,122103,758237,Connecticut,0.161,50-64 years,"2023-24, Connecticut: 50-64 years",Adult
DEC,123446,2707942,Illinois,0.0456,6 months to 17 years,"2023-24, Illinois: 6 months to 17 years",Child
DEC,125892,782153,Delaware,0.161,18+ years,"2023-24, Delaware: 18+ years",Adult
DEC,126151,1278598,Indiana,0.0987,50-64 years,"2023-24, Indiana: 50-64 years",Adult
DEC,127226,519316,Nevada,0.245,65+ years,"2023-24, Nevada: 65+ years",Adult
DEC,127285,1622553.5,Washington,0.0784,6 months to 17 years,"2023-24, Washington: 6 months to 17 years",Child
DEC,127615,2522821,California,0.0506,13-17 years,"2023-24, California: 13-17 years",Child
DEC,127802,1239735,Philadelphia,0.1031,18+ years,"2023-24, Philadelphia: 18+ years",Adult
DEC,129364,874244,Alabama,0.148,65+ years,"2023-24, Alabama: 65+ years",Adult
DEC,129996,1190710,Missouri,0.1092,50-64 years,"2023-24, Missouri: 50-64 years",Adult
DEC,131556,620682,Vermont,0.212,Overall,"2023-24, Vermont: Overall",All
DEC,131607,1498072,New York City,0.0879,50-64 years,"2023-24, New York City: 50-64 years",Adult
DEC,131641,981560.5,Delaware,0.1341,Overall,"2023-24, Delaware: Overall",All
DEC,132314,381593,Utah,0.3467,65+ years,"2023-24, Utah: 65+ years",Adult
DEC,135284,4619939,Georgia,0.0293,18-49 years,"2023-24, Georgia: 18-49 years",Adult
DEC,138714,389911,New Mexico,0.3558,65+ years,"2023-24, New Mexico: 65+ years",Adult
DEC,138791,1568273.5,Philadelphia,0.0885,Overall,"2023-24, Philadelphia: Overall",All
DEC,141875,653159,Oklahoma,0.2172,65+ years,"2023-24, Oklahoma: 65+ years",Adult
DEC,142291,7246622.5,Texas,0.0196,6 months to 17 years,"2023-24, Texas: 6 months to 17 years",Child
DEC,145826,784957,Oregon,0.1858,50-64 years,"2023-24, Oregon: 50-64 years",Adult
DEC,146716,1111188,Hawaii,0.132,18+ years,"2023-24, Hawaii: 18+ years",Adult
DEC,152205,1375870,Idaho,0.1106,18+ years,"2023-24, Idaho: 18+ years",Adult
DEC,155166,1398884,Hawaii,0.1109,Overall,"2023-24, Hawaii: Overall",All
DEC,158979,2015461,Georgia,0.0789,50-64 years,"2023-24, Georgia: 50-64 years",Adult
DEC,160026,1816139.5,Idaho,0.0881,Overall,"2023-24, Idaho: Overall",All
DEC,163055,3564038,Louisiana,0.0458,18+ years,"2023-24, Louisiana: 18+ years",Adult
DEC,167997,4616751,Louisiana,0.0364,Overall,"2023-24, Louisiana: Overall",All
DEC,174924,2341888,Wisconsin,0.0747,18-49 years,"2023-24, Wisconsin: 18-49 years",Adult
DEC,181182,1101973,Maine,0.1644,18+ years,"2023-24, Maine: 18+ years",Adult
DEC,182897,2330808,Arkansas,0.0785,18+ years,"2023-24, Arkansas: 18+ years",Adult
DEC,183776,3608589,New Jersey,0.0509,18-49 years,"2023-24, New Jersey: 18-49 years",Adult
DEC,184088,1184308,Wisconsin,0.1554,50-64 years,"2023-24, Wisconsin: 50-64 years",Adult
DEC,184252,4423448,North Carolina,0.0417,18-49 years,"2023-24, North Carolina: 18-49 years",Adult
DEC,185243,1806245,Oregon,0.1026,18-49 years,"2023-24, Oregon: 18-49 years",Adult
DEC,189060,770835,Kentucky,0.2453,65+ years,"2023-24, Kentucky: 65+ years",Adult
DEC,189118,3012504.5,Arkansas,0.0628,Overall,"2023-24, Arkansas: Overall",All
DEC,190862,8532850,Florida,0.0224,18-49 years,"2023-24, Florida: 18-49 years",Adult
DEC,193952,1344005,Maine,0.1443,Overall,"2023-24, Maine: Overall",All
DEC,194367,1829219,New Jersey,0.1063,50-64 years,"2023-24, New Jersey: 50-64 years",Adult
DEC,195429,1053369,Colorado,0.1855,50-64 years,"2023-24, Colorado: 50-64 years",Adult
DEC,208115,4391080,New York (excluding New York City),0.0474,18-49 years,"2023-24, New York (excluding New York City): 18-49 years",Adult
DEC,209586,3834249,Alabama,0.0547,18+ years,"2023-24, Alabama: 18+ years",Adult
DEC,215600,4893409,Alabama,0.0441,Overall,"2023-24, Alabama: Overall",All
DEC,216809,2056433,North Carolina,0.1054,50-64 years,"2023-24, North Carolina: 50-64 years",Adult
DEC,220335,4006528,Michigan,0.055,18-49 years,"2023-24, Michigan: 18-49 years",Adult
DEC,221934,4712462,Ohio,0.0471,18-49 years,"2023-24, Ohio: 18-49 years",Adult
DEC,222902,566136,Iowa,0.3937,65+ years,"2023-24, Iowa: 65+ years",Adult
DEC,224430,1091861,Minnesota,0.2055,50-64 years,"2023-24, Minnesota: 50-64 years",Adult
DEC,226811,1308751,New York City,0.1733,65+ years,"2023-24, New York City: 65+ years",Adult
DEC,230304,3752487,New York City,0.0614,18-49 years,"2023-24, New York City: 18-49 years",Adult
DEC,231765,2440679,Nevada,0.095,18+ years,"2023-24, Nevada: 18+ years",Adult
DEC,234857,3027263,Oklahoma,0.0776,18+ years,"2023-24, Oklahoma: 18+ years",Adult
DEC,236911,4366564,Pennsylvania (excluding Philadelphia County),0.0543,18-49 years,"2023-24, Pennsylvania (excluding Philadelphia County): 18-49 years",Adult
DEC,241206,3120407,Nevada,0.0773,Overall,"2023-24, Nevada: Overall",All
DEC,241484,1180543,Tennessee,0.2046,65+ years,"2023-24, Tennessee: 65+ years",Adult
DEC,241688,2627928,Colorado,0.092,18-49 years,"2023-24, Colorado: 18-49 years",Adult
DEC,244815,3956445.5,Oklahoma,0.0619,Overall,"2023-24, Oklahoma: Overall",All
DEC,246183,2020773,Michigan,0.1218,50-64 years,"2023-24, Michigan: 50-64 years",Adult
DEC,251661,5025173,Texas,0.0501,50-64 years,"2023-24, Texas: 50-64 years",Adult
DEC,254971,2315421,Minnesota,0.1101,18-49 years,"2023-24, Minnesota: 18-49 years",Adult
DEC,255327,645996,Connecticut,0.3952,65+ years,"2023-24, Connecticut: 65+ years",Adult
DEC,258405,2314476,Ohio,0.1116,50-64 years,"2023-24, Ohio: 50-64 years",Adult
DEC,260474,1633828,New Mexico,0.1594,18+ years,"2023-24, New Mexico: 18+ years",Adult
DEC,261673,13026771,Texas,0.0201,18-49 years,"2023-24, Texas: 18-49 years",Adult
DEC,271295,2337214,New York (excluding New York City),0.1161,50-64 years,"2023-24, New York (excluding New York City): 50-64 years",Adult
DEC,271876,1415568,Washington,0.1921,50-64 years,"2023-24, Washington: 50-64 years",Adult
DEC,279492,2095031,New Mexico,0.1334,Overall,"2023-24, New Mexico: Overall",All
DEC,283855,2335478,Pennsylvania (excluding Philadelphia County),0.1215,50-64 years,"2023-24, Pennsylvania (excluding Philadelphia County): 50-64 years",Adult
DEC,290123,2320603,Utah,0.125,18+ years,"2023-24, Utah: 18+ years",Adult
DEC,290730,4311636,Florida,0.0674,50-64 years,"2023-24, Florida: 50-64 years",Adult
DEC,299686,1373975,Arizona,0.2181,65+ years,"2023-24, Arizona: 65+ years",Adult
DEC,312891,1574667,Georgia,0.1987,65+ years,"2023-24, Georgia: 65+ years",Adult
DEC,318743,1115285,Indiana,0.2858,65+ years,"2023-24, Indiana: 65+ years",Adult
DEC,321857,3226163.5,Utah,0.0998,Overall,"2023-24, Utah: Overall",All
DEC,322039,1089714,Missouri,0.2955,65+ years,"2023-24, Missouri: 65+ years",Adult
DEC,330621,3475334,Kentucky,0.0951,18+ years,"2023-24, Kentucky: 18+ years",Adult
DEC,330730,789527,Oregon,0.4189,65+ years,"2023-24, Oregon: 65+ years",Adult
DEC,347616,4450995.5,Kentucky,0.0781,Overall,"2023-24, Kentucky: Overall",All
DEC,349163,2427133,Illinois,0.1439,50-64 years,"2023-24, Illinois: 50-64 years",Adult
DEC,352032,3364376,Washington,0.1046,18-49 years,"2023-24, Washington: 18-49 years",Adult
DEC,378541,2438002,Iowa,0.1553,18+ years,"2023-24, Iowa: 18+ years",Adult
DEC,378880,5293195,Illinois,0.0716,18-49 years,"2023-24, Illinois: 18-49 years",Adult
DEC,384735,8567802,California,0.0449,6 months to 17 years,"2023-24, California: 6 months to 17 years",Child
DEC,388943,1510028,New Jersey,0.2576,65+ years,"2023-24, New Jersey: 65+ years",Adult
DEC,404045,3145074,Iowa,0.1285,Overall,"2023-24, Iowa: Overall",All
DEC,419681,6846888.5,Tennessee,0.0613,Overall,"2023-24, Tennessee: Overall",All
DEC,440407,5373433,Tennessee,0.082,18+ years,"2023-24, Tennessee: 18+ years",Adult
DEC,444162,1047935,Wisconsin,0.4238,65+ years,"2023-24, Wisconsin: 65+ years",Adult
DEC,453447,948841,Minnesota,0.4779,65+ years,"2023-24, Minnesota: 65+ years",Adult
DEC,465577,1814542,North Carolina,0.2566,65+ years,"2023-24, North Carolina: 65+ years",Adult
DEC,480491,2838054,Connecticut,0.1693,18+ years,"2023-24, Connecticut: 18+ years",Adult
DEC,489368,3873683,Texas,0.1263,65+ years,"2023-24, Texas: 65+ years",Adult
DEC,511296,3539890,Connecticut,0.1444,Overall,"2023-24, Connecticut: Overall",All
DEC,514906,5774978,Arizona,0.0892,18+ years,"2023-24, Arizona: 18+ years",Adult
DEC,521085,876387,Colorado,0.5946,65+ years,"2023-24, Colorado: 65+ years",Adult
DEC,523539,1247874,Washington,0.4195,65+ years,"2023-24, Washington: 65+ years",Adult
DEC,547974,5188514,Indiana,0.1056,18+ years,"2023-24, Indiana: 18+ years",Adult
DEC,555979,7380696.5,Arizona,0.0753,Overall,"2023-24, Arizona: Overall",All
DEC,565195,4780119,Missouri,0.1182,18+ years,"2023-24, Missouri: 18+ years",Adult
DEC,581437,6714728,Indiana,0.0866,Overall,"2023-24, Indiana: Overall",All
DEC,588723,6559310,New York City,0.0898,18+ years,"2023-24, New York City: 18+ years",Adult
DEC,597002,1812441,Michigan,0.3294,65+ years,"2023-24, Michigan: 65+ years",Adult
DEC,600680,6115723.5,Missouri,0.0982,Overall,"2023-24, Missouri: Overall",All
DEC,607154,8210067,Georgia,0.074,18+ years,"2023-24, Georgia: 18+ years",Adult
DEC,627896,2097638,Ohio,0.2993,65+ years,"2023-24, Ohio: 65+ years",Adult
DEC,639154,8200096,New York City,0.0779,Overall,"2023-24, New York City: Overall",All
DEC,641732,10647521,Georgia,0.0603,Overall,"2023-24, Georgia: Overall",All
DEC,651991,2060818,New York (excluding New York City),0.3164,65+ years,"2023-24, New York (excluding New York City): 65+ years",Adult
DEC,661799,3380729,Oregon,0.1958,18+ years,"2023-24, Oregon: 18+ years",Adult
DEC,676848,2220720,Pennsylvania (excluding Philadelphia County),0.3048,65+ years,"2023-24, Pennsylvania (excluding Philadelphia County): 65+ years",Adult
DEC,712999,2089234,Illinois,0.3413,65+ years,"2023-24, Illinois: 65+ years",Adult
DEC,729569,4220498,Oregon,0.1729,Overall,"2023-24, Oregon: Overall",All
DEC,767086,6947836,New Jersey,0.1104,18+ years,"2023-24, New Jersey: 18+ years",Adult
DEC,800488,4557684,Colorado,0.1756,18+ years,"2023-24, Colorado: 18+ years",Adult
DEC,803174,4574131,Wisconsin,0.1756,18+ years,"2023-24, Wisconsin: 18+ years",Adult
DEC,818961,8832618,New Jersey,0.0927,Overall,"2023-24, New Jersey: Overall",All
DEC,863051,5801275.5,Wisconsin,0.1488,Overall,"2023-24, Wisconsin: Overall",All
DEC,865599,4638094,Florida,0.1866,65+ years,"2023-24, Florida: 65+ years",Adult
DEC,866638,8294423,North Carolina,0.1045,18+ years,"2023-24, North Carolina: 18+ years",Adult
DEC,883029,5776181,Colorado,0.1529,Overall,"2023-24, Colorado: Overall",All
DEC,930055,10541669,North Carolina,0.0882,Overall,"2023-24, North Carolina: Overall",All
DEC,932848,4356123,Minnesota,0.2141,18+ years,"2023-24, Minnesota: 18+ years",Adult
DEC,1002702,29172250,Texas,0.0344,Overall,"2023-24, Texas: Overall",All
DEC,1039412,5624147,Minnesota,0.1848,Overall,"2023-24, Minnesota: Overall",All
DEC,1063520,7839742,Michigan,0.1357,18+ years,"2023-24, Michigan: 18+ years",Adult
DEC,1108235,9124576,Ohio,0.1215,18+ years,"2023-24, Ohio: 18+ years",Adult
DEC,1131401,8789112,New York (excluding New York City),0.1287,18+ years,"2023-24, New York (excluding New York City): 18+ years",Adult
DEC,1133400,7220373,California,0.157,50-64 years,"2023-24, California: 50-64 years",Adult
DEC,1143271,9912630.5,Michigan,0.1153,Overall,"2023-24, Michigan: Overall",All
DEC,1144993,21925627,Texas,0.0522,18+ years,"2023-24, Texas: 18+ years",Adult
DEC,1147447,6027818,Washington,0.1904,18+ years,"2023-24, Washington: 18+ years",Adult
DEC,1177516,11627059,Ohio,0.1013,Overall,"2023-24, Ohio: Overall",All
DEC,1197614,8922762,Pennsylvania (excluding Philadelphia County),0.1342,18+ years,"2023-24, Pennsylvania (excluding Philadelphia County): 18+ years",Adult
DEC,1198816,11026194,New York (excluding New York City),0.1087,Overall,"2023-24, New York (excluding New York City): Overall",All
DEC,1274732,7650371.5,Washington,0.1666,Overall,"2023-24, Washington: Overall",All
DEC,1275793,17380305,California,0.0734,18-49 years,"2023-24, California: 18-49 years",Adult
DEC,1278206,11148453,Pennsylvania (excluding Philadelphia County),0.1147,Overall,"2023-24, Pennsylvania (excluding Philadelphia County): Overall",All
DEC,1347191,17482580,Florida,0.0771,18+ years,"2023-24, Florida: 18+ years",Adult
DEC,1381694,21623533,Florida,0.0639,Overall,"2023-24, Florida: Overall",All
DEC,1441042,9809562,Illinois,0.1469,18+ years,"2023-24, Illinois: 18+ years",Adult
DEC,1564488,12517504,Illinois,0.125,Overall,"2023-24, Illinois: Overall",All
DEC,1929981,5976166,California,0.3229,65+ years,"2023-24, California: 65+ years",Adult
DEC,4339174,30576844,California,0.1419,18+ years,"2023-24, California: 18+ years",Adult
DEC,4723909,39144646,California,0.1207,Overall,"2023-24, California: Overall",All
JAN,,,Chicago,,13-17 years,"2023-24, Chicago: 13-17 years",Child
JAN,,,Chicago,,18+ years,"2023-24, Chicago: 18+ years",Adult
JAN,,,Chicago,,18-49 years,"2023-24, Chicago: 18-49 years",Adult
JAN,,,Chicago,,2-4 years,"2023-24, Chicago: 2-4 years",Child
JAN,,,Chicago,,5-8 years,"2023-24, Chicago: 5-8 years",Child
JAN,,,Chicago,,50-64 years,"2023-24, Chicago: 50-64 years",Adult
JAN,,,Chicago,,6 months to 17 years,"2023-24, Chicago: 6 months to 17 years",Child
JAN,,,Chicago,,6-23 months,"2023-24, Chicago: 6-23 months",Child
JAN,,,Chicago,,65+ years,"2023-24, Chicago: 65+ years",Adult
JAN,,,Chicago,,9-12 years,"2023-24, Chicago: 9-12 years",Child
JAN,,,Chicago,,Overall,"2023-24, Chicago: Overall",All
JAN,,,Colorado,,13-17 years,"2023-24, Colorado: 13-17 years",Child
JAN,,,Colorado,,18+ years,"2023-24, Colorado: 18+ years",Adult
JAN,,,Colorado,,18-49 years,"2023-24, Colorado: 18-49 years",Adult
JAN,,,Colorado,,2-4 years,"2023-24, Colorado: 2-4 years",Child
JAN,,,Colorado,,5-8 years,"2023-24, Colorado: 5-8 years",Child
JAN,,,Colorado,,50-64 years,"2023-24, Colorado: 50-64 years",Adult
JAN,,,Colorado,,6 months to 17 years,"2023-24, Colorado: 6 months to 17 years",Child
JAN,,,Colorado,,6-23 months,"2023-24, Colorado: 6-23 months",Child
JAN,,,Colorado,,65+ years,"2023-24, Colorado: 65+ years",Adult
JAN,,,Colorado,,9-12 years,"2023-24, Colorado: 9-12 years",Child
JAN,,,Colorado,,Overall,"2023-24, Colorado: Overall",All
JAN,,,Houston,,13-17 years,"2023-24, Houston: 13-17 years",Child
JAN,,,Houston,,18+ years,"2023-24, Houston: 18+ years",Adult
JAN,,,Houston,,18-49 years,"2023-24, Houston: 18-49 years",Adult
JAN,,,Houston,,2-4 years,"2023-24, Houston: 2-4 years",Child
JAN,,,Houston,,5-8 years,"2023-24, Houston: 5-8 years",Child
JAN,,,Houston,,50-64 years,"2023-24, Houston: 50-64 years",Adult
JAN,,,Houston,,6 months to 17 years,"2023-24, Houston: 6 months to 17 years",Child
JAN,,,Houston,,6-23 months,"2023-24, Houston: 6-23 months",Child
JAN,,,Houston,,65+ years,"2023-24, Houston: 65+ years",Adult
JAN,,,Houston,,9-12 years,"2023-24, Houston: 9-12 years",Child
JAN,,,Houston,,Overall,"2023-24, Houston: Overall",All
JAN,,,Kansas,,13-17 years,"2023-24, Kansas: 13-17 years",Child
JAN,,,Kansas,,18+ years,"2023-24, Kansas: 18+ years",Adult
JAN,,,Kansas,,18-49 years,"2023-24, Kansas: 18-49 years",Adult
JAN,,,Kansas,,2-4 years,"2023-24, Kansas: 2-4 years",Child
JAN,,,Kansas,,5-8 years,"2023-24, Kansas: 5-8 years",Child
JAN,,,Kansas,,50-64 years,"2023-24, Kansas: 50-64 years",Adult
JAN,,,Kansas,,6 months to 17 years,"2023-24, Kansas: 6 months to 17 years",Child
JAN,,,Kansas,,6-23 months,"2023-24, Kansas: 6-23 months",Child
JAN,,,Kansas,,65+ years,"2023-24, Kansas: 65+ years",Adult
JAN,,,Kansas,,9-12 years,"2023-24, Kansas: 9-12 years",Child
JAN,,,Kansas,,Overall,"2023-24, Kansas: Overall",All
JAN,,,Massachusetts,,13-17 years,"2023-24, Massachusetts: 13-17 years",Child
JAN,,,Massachusetts,,18+ years,"2023-24, Massachusetts: 18+ years",Adult
JAN,,,Massachusetts,,18-49 years,"2023-24, Massachusetts: 18-49 years",Adult
JAN,,,Massachusetts,,2-4 years,"2023-24, Massachusetts: 2-4 years",Child
JAN,,,Massachusetts,,5-8 years,"2023-24, Massachusetts: 5-8 years",Child
